Raioane,Grupe de varsta,Ani,Medii,Sexe,value
Total pe tara,5-9,2017,Total,Feminin,84002
Total pe tara,5-9,2017,Urban,Total,67911
Total pe tara,5-9,2017,Urban,Masculin,34897
Total pe tara,5-9,2017,Urban,Feminin,33014
Total pe tara,5-9,2017,Rural,Total,104525
Total pe tara,5-9,2017,Rural,Masculin,53537
Total pe tara,5-9,2017,Rural,Feminin,50988
Total pe tara,5-9,2018,Total,Total,171004
Total pe tara,5-9,2018,Total,Masculin,87564
Total pe tara,5-9,2018,Total,Feminin,83440
Total pe tara,5-9,2018,Urban,Total,69000
Total pe tara,5-9,2018,Urban,Masculin,35434
Total pe tara,5-9,2018,Urban,Feminin,33566
Total pe tara,5-9,2018,Rural,Total,102004
Total pe tara,5-9,2018,Rural,Masculin,52130
Total pe tara,5-9,2018,Rural,Feminin,49874
Total pe tara,5-9,2019,Total,Total,168163
Total pe tara,5-9,2019,Total,Masculin,86091
Total pe tara,5-9,2019,Total,Feminin,82072
Total pe tara,5-9,2019,Urban,Total,68849
Total pe tara,5-9,2019,Urban,Masculin,35330
Total pe tara,5-9,2019,Urban,Feminin,33519
Total pe tara,5-9,2019,Rural,Total,99314
Total pe tara,5-9,2019,Rural,Masculin,50761
Total pe tara,5-9,2019,Rural,Feminin,48553
Total pe tara,5-9,2020,Total,Total,166320
Total pe tara,5-9,2020,Total,Masculin,85165
Total pe tara,5-9,2020,Total,Feminin,81155
Total pe tara,5-9,2020,Urban,Total,69816
Total pe tara,5-9,2020,Urban,Masculin,35846
Total pe tara,5-9,2020,Urban,Feminin,33970
Total pe tara,5-9,2020,Rural,Total,96504
Total pe tara,5-9,2020,Rural,Masculin,49319
Total pe tara,5-9,2020,Rural,Feminin,47185
Total pe tara,5-9,2021,Total,Total,167122
Total pe tara,5-9,2021,Total,Masculin,85895
Total pe tara,5-9,2021,Total,Feminin,81227
Total pe tara,5-9,2021,Urban,Total,71047
Total pe tara,5-9,2021,Urban,Masculin,36636
Total pe tara,5-9,2021,Urban,Feminin,34411
Total pe tara,5-9,2021,Rural,Total,96075
Total pe tara,5-9,2021,Rural,Masculin,49259
Total pe tara,5-9,2021,Rural,Feminin,46816
Total pe tara,5-9,2022,Total,Total,167625
Total pe tara,5-9,2022,Total,Masculin,86338
Total pe tara,5-9,2022,Total,Feminin,81287
Total pe tara,5-9,2022,Urban,Total,72431
Total pe tara,5-9,2022,Urban,Masculin,37473
Total pe tara,5-9,2022,Urban,Feminin,34958
Total pe tara,5-9,2022,Rural,Total,95194
Total pe tara,5-9,2022,Rural,Masculin,48865
Total pe tara,5-9,2022,Rural,Feminin,46329
Total pe tara,5-9,2023,Total,Total,161738
Total pe tara,5-9,2023,Total,Masculin,83326
Total pe tara,5-9,2023,Total,Feminin,78412
Total pe tara,5-9,2023,Urban,Total,70667
Total pe tara,5-9,2023,Urban,Masculin,36628
Total pe tara,5-9,2023,Urban,Feminin,34039
Total pe tara,5-9,2023,Rural,Total,91071
Total pe tara,5-9,2023,Rural,Masculin,46698
Total pe tara,5-9,2023,Rural,Feminin,44373
Total pe tara,5-9,2024,Total,Total,167006
Total pe tara,5-9,2024,Total,Masculin,85708
Total pe tara,5-9,2024,Total,Feminin,81298
Total pe tara,5-9,2024,Urban,Total,79900
Total pe tara,5-9,2024,Urban,Masculin,41155
Total pe tara,5-9,2024,Urban,Feminin,38745
Total pe tara,5-9,2024,Rural,Total,87106
Total pe tara,5-9,2024,Rural,Masculin,44553
Total pe tara,5-9,2024,Rural,Feminin,42553
Total pe tara,5-9,2025,Total,Total,163783
Total pe tara,5-9,2025,Total,Masculin,83875
Total pe tara,5-9,2025,Total,Feminin,79908
Total pe tara,5-9,2025,Urban,Total,80063
Total pe tara,5-9,2025,Urban,Masculin,41176
Total pe tara,5-9,2025,Urban,Feminin,38887
Total pe tara,5-9,2025,Rural,Total,83720
Total pe tara,5-9,2025,Rural,Masculin,42699
Total pe tara,5-9,2025,Rural,Feminin,41021
Total pe tara,5-9,2026,Total,Total,160074
Total pe tara,5-9,2026,Total,Masculin,82026
Total pe tara,5-9,2026,Total,Feminin,78048
