domain,cause,sex,age_group,indicator,year,value
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2021,56.3
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2022,47.4
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2022,147.7
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2022,18.7
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2022,58.4
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2023,50.2
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2023,154.4
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2023,20.4
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2023,62.8
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2024,49.8
SAN020200,Boli ale aparatului genito-urinar,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2024,157.2
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2024,20.7
SAN020200,Boli ale aparatului genito-urinar,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2024,65.4
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2014,406.7
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2014,485.2
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2014,142.3
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2014,169.8
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2015,465.4
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2015,553.9
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2015,164.1
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2015,195.3
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2016,474.9
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2016,547.3
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2016,169.4
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2016,196.8
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2017,518.0
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2017,587.6
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2017,188.0
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2017,213.3
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2018,523.9
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2018,590.2
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2018,193.5
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2018,218.0
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2019,527.4
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2019,604.1
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2019,198.0
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2019,226.7
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data)",2020,376.5
SAN020200,Boli ale aparatului respirator,Total,Total,"Cazuri, mii | Prevalenta (total bolnavi inregistrati pe parcursul anului)",2020,442.0
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Incidenta (bolnavi aflati in evidenta cu diagnosticul stabilit pentru prima data),2020,142.9
SAN020200,Boli ale aparatului respirator,Total,Total,La 1000 locuitori | Prevalenta (total bolnavi inregistrati pe parcursul anului),2020,167.7
