"Diviziuni de marfuri si servicii, conform clasificatorului COICOP",Ani,Luni,value
01 Produse alimentare si bauturi nealcoolice,1998,Mai,..
01 Produse alimentare si bauturi nealcoolice,1998,Iunie,..
01 Produse alimentare si bauturi nealcoolice,1998,Iulie,..
01 Produse alimentare si bauturi nealcoolice,1998,August,..
01 Produse alimentare si bauturi nealcoolice,1998,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,1998,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,1998,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,1998,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,1999,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,1999,Februarie,..
01 Produse alimentare si bauturi nealcoolice,1999,Martie,..
01 Produse alimentare si bauturi nealcoolice,1999,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,1999,Mai,..
01 Produse alimentare si bauturi nealcoolice,1999,Iunie,..
01 Produse alimentare si bauturi nealcoolice,1999,Iulie,..
01 Produse alimentare si bauturi nealcoolice,1999,August,..
01 Produse alimentare si bauturi nealcoolice,1999,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,1999,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,1999,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,1999,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2000,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2000,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2000,Martie,..
01 Produse alimentare si bauturi nealcoolice,2000,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2000,Mai,..
01 Produse alimentare si bauturi nealcoolice,2000,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2000,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2000,August,..
01 Produse alimentare si bauturi nealcoolice,2000,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2000,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2000,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2000,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2001,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2001,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2001,Martie,..
01 Produse alimentare si bauturi nealcoolice,2001,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2001,Mai,..
01 Produse alimentare si bauturi nealcoolice,2001,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2001,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2001,August,..
01 Produse alimentare si bauturi nealcoolice,2001,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2001,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2001,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2001,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2002,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2002,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2002,Martie,..
01 Produse alimentare si bauturi nealcoolice,2002,Aprilie,..
01 Produse alimentare si bauturi nealcoolice,2002,Mai,..
01 Produse alimentare si bauturi nealcoolice,2002,Iunie,..
01 Produse alimentare si bauturi nealcoolice,2002,Iulie,..
01 Produse alimentare si bauturi nealcoolice,2002,August,..
01 Produse alimentare si bauturi nealcoolice,2002,Septembrie,..
01 Produse alimentare si bauturi nealcoolice,2002,Octombrie,..
01 Produse alimentare si bauturi nealcoolice,2002,Noiembrie,..
01 Produse alimentare si bauturi nealcoolice,2002,Decembrie,..
01 Produse alimentare si bauturi nealcoolice,2003,Ianuarie,..
01 Produse alimentare si bauturi nealcoolice,2003,Februarie,..
01 Produse alimentare si bauturi nealcoolice,2003,Martie,..
01 Produse alimentare si bauturi nealcoolice,2003,Aprilie,..
